Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
79,The Methodist Hospital,TX,None,689,Theft,Other,2014-01-23,"An unencrypted laptop computer was stolen from the covered entity's unlocked testing office.  The laptop computer contained the protected health information of approximately 689 individuals.  The protected health information involved in the breach included names, dates of birth, Social Security numbers, and the age, gender, race, and medication information of affected individuals.  Following the breach, the covered entity restricted the storage of electronic protected health information to network drives.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",2010-01-18,Unknown Date,2010,Theft
80,Ashley and Gray DDS,MO,None,9309,Theft,Desktop Computer,2014-01-23,Unknown detailed,2010-01-10,Unknown Date,2010,Theft
81,Lucille Packard Children's Hospital,CA,None,532,Other,Desktop Computer,2014-01-23,Unknown detailed,2010-01-11,Unknown Date,2010,Other
82,Montefiore Medical Center,NY,None,625,Theft,Laptop,2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",2010-02-20,Unknown Date,2010,Theft
83,North Carolina Baptist Hospital,NC,None,554,Theft,Paper,2014-01-23,Unknown detailed,2010-02-15,Unknown Date,2010,Theft
84,Thrivent Financial for Lutherans,WI,None,9500,Theft,Laptop,2014-01-23,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",2010-01-29,Unknown Date,2010,Theft
85,Shands at UF,FL,None,12580,Theft,Laptop,2014-01-23,"A laptop containing certain information collected on approximately 12,580 individuals referred to Shands at UF GI Clinical Services was stolen from the private residence of an employee.  The stolen information included patient names, social security numbers, and medical record numbers.  As a result of the incident, the employee was counseled by her supervisor, issued written corrective action with a 3-day suspension, and provided additional HIPAA training.  OCR reviewed Shands at UF's most recent Risk Analysis and Risk Management Plans and they revealed no high risk findings related to encryption, workstation use, or physical security.  OCR's investigation found that Shands at UF has implemented appropriate technical safeguards, such as secure VPN network connections and network storage for workforce usage, encrypted USB portable flash drives, and PGP whole disk encryption.  

",2010-01-27,Unknown Date,2010,Theft
86,University of New Mexico Health Sciences Center,NM,None,1900,Other,Desktop Computer,2014-01-23,Unknown detailed,2010-02-08,Unknown Date,2010,Other
87,Trinity Health Corporation Welfare Benefit Plan,MI,Mercer,1073,Loss,Other,2014-01-23,Unknown detailed,2010-03-29,Unknown Date,2010,Loss
88,Carolina Center for Development and Rehabilitation,NC,None,1590,Theft,Paper,2014-06-30,"The covered entity's (CE) staff inadvertently sent twenty-three boxes containing the protected health information (PHI) of 1,590 patients to a recycling center.  The PHI included patients' full names, addresses, dates of birth, social security numbers, insurance identification numbers, driver's license numbers, diagnoses, medication information, checking and savings account numbers, credit and debit card numbers, and photographs of the patients.  Following the breach, the CE immediately took steps for the records to be returned.  The CE notified HHS, the media, and all individuals affected by the breach, and established a toll free number for patients to call for more information.  The CE cooperated with the state attorney general's investigation and suspended the responsible staff members.  Following OCR's investigation, the CE placed a record into its accounting of disclosure log for each individual affected and terminated the employment of the staff involved in the breach.  In addition, the CE revised its policies and procedures regarding the rights of individuals and safeguards for PHI, and re-trained staff.  ",2010-06-24,Unknown Date,2010,Theft
89,Humana Inc [case 4486],KY,Matrix Imaging,2631,Other,Paper,2014-01-23,Unknown detailed,2010-06-25,Unknown Date,2010,Other
90,Charles Mitchell MD,TX,None,6873,Theft,Desktop Computer,2014-06-30,"A burglary occurred at the covered entity's (CE) facility and two desktop computers containing protected health information (PHI) were stolen.  Approximately 6873 individuals were affected.  The PHI involved included names, addresses, dates of birth, social security numbers, diagnoses and conditions, medications, and other treatment information.  OCR closed this investigation after determining that the individual who reported the breach worked for a CE no longer in existence.",2010-06-27,Unknown Date,2010,Theft
91,Aetna,CT,None,6372,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-03-29,Unknown Date,2010,Improper Disposal
92,Medina County OB/GYN,OH,None,1200,Improper Disposal,Paper,2014-01-23,Unknown detailed,2010-06-13,Unknown Date,2010,Improper Disposal
93,Montefiore Medical Center,NY,None,23753,Theft,Desktop Computer,2014-06-19,"OCR opened an investigation of the covered entity (CE), Montefiore Medical Center, after it reported three unencrypted desktop computers were stolen that contained the electronic protected health information (ePHI) of 23,753 individuals.  The ePHI included names, medical record numbers, dates of birth, parent or guardian contact numbers, asthma diagnoses, vaccination information, and number of visits to the school health clinic.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE updated its building alarm to include additional motion sensors and installed surveillance cameras.  Further, the CE encrypted all of its computers, advised that no ePHI is stored on desktop hard drives, removed all ePHI from its computers, and stored ePHI on the centralized secured network servers.  The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-06-09,Unknown Date,2010,Theft
94,"DC Chartered Health Plan, Inc",DC,None,540,Theft,Laptop,2014-01-23,Unknown detailed,2010-05-26,Unknown Date,2010,Theft
95,Montefiore Medical Center,NY,None,16820,Theft,Desktop Computer,2014-06-19,"Two unencrypted desktop computers containing the electronic protected health information (ePHI) of 16,820 individuals were stolen from the covered entity (CE).  The ePHI included medical record numbers, dates of birth, admission /discharge dates, billing codes, and social security numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and affected individuals.  It also provide substitute notification by posting on its website.  As a result of OCR's investigation, the CE replaced its building alarm and installed bars on the windows.  In addition, the CE directed its staff to save patient data only on a centralized network drive, moved all ePHI stored on desktop hard drives to centralized secured network servers, and encrypted all of its computers.   The CE also revised its policy and procedure on password management and provided training to all staff on its new policy.",2010-05-22,Unknown Date,2010,Theft
